rank,code,name,market,size_category,sector_33,sector_17,ticker,matched_patterns,best_pattern,best_score,all_scores,close,rsi,atr_pct,volume_ratio,vs_sma50,vs_sma100,vs_sma200,turnover_rank_pct
1,1911,住友林業,TSE Prime,TOPIX Mid400,建設業,建設・資材,1911.T,E_can_slim,E_can_slim,41.66,{'E_can_slim': 41.66},1340.5,66.9,2.52,2.02,-1.69,-10.45,-14.72,23.9
2,2801,キッコーマン,TSE Prime,TOPIX Mid400,食料品,食品,2801.T,A_trend|E_can_slim,E_can_slim,36.78,"{'A_trend': 28.66, 'E_can_slim': 36.78}",1598.5,75.3,3.15,1.75,9.64,11.05,15.21,21.1
3,5918,瀧上工業,TSE Standard,TSE Standard Top400,金属製品,建設・資材,5918.T,E_can_slim,E_can_slim,36.56,{'E_can_slim': 36.56},7270.0,58.2,0.84,3.89,1.9,1.92,1.32,99.5
4,8795,Ｔ＆Ｄホールディングス,TSE Prime,TOPIX Mid400,保険業,金融（除く銀行）,8795.T,A_trend|E_can_slim,E_can_slim,36.19,"{'A_trend': 28.2, 'E_can_slim': 36.19}",4686.0,79.7,3.42,1.47,15.86,17.82,24.15,14.1
5,8341,七十七銀行,TSE Prime,TOPIX Mid400,銀行業,銀行,8341.T,C_breakout|E_can_slim,E_can_slim,35.96,"{'C_breakout': 25.69, 'E_can_slim': 35.96}",3256.0,50.6,3.22,1.84,-1.04,-47.12,-48.5,39.9
6,2222,寿スピリッツ,TSE Prime,TOPIX Mid400,食料品,食品,2222.T,A_trend|E_can_slim,E_can_slim,35.96,"{'A_trend': 25.68, 'E_can_slim': 35.96}",2396.0,88.9,3.23,2.18,18.59,21.85,25.78,45.9
7,7616,コロワイド,TSE Prime,TOPIX Mid400,小売業,小売,7616.T,E_can_slim,E_can_slim,35.8,{'E_can_slim': 35.8},1853.5,49.8,1.8,1.48,-0.38,0.24,1.74,56.0
8,3435,サンコーテクノ,TSE Standard,TSE Standard Top400,金属製品,建設・資材,3435.T,A_trend|E_can_slim,E_can_slim,35.19,"{'A_trend': 25.13, 'E_can_slim': 35.19}",1394.0,60.4,1.55,2.21,4.1,3.18,7.78,98.7
9,5079,ノバック,TSE Standard,TSE Standard Top400,建設業,建設・資材,5079.T,E_can_slim,E_can_slim,34.8,{'E_can_slim': 34.8},2556.0,55.0,1.75,2.16,-3.2,-5.57,-4.36,87.0
10,7956,ピジョン,TSE Prime,TOPIX Mid400,その他製品,情報通信・サービスその他,7956.T,A_trend|E_can_slim,E_can_slim,34.77,"{'A_trend': 27.09, 'E_can_slim': 34.77}",1984.0,71.5,2.32,1.43,12.89,16.97,17.47,36.8
11,2914,日本たばこ産業,TSE Prime,TOPIX Core30,食料品,食品,2914.T,A_trend,A_trend,34.5,{'A_trend': 34.5},6164.0,46.1,1.58,0.91,2.2,3.91,11.51,6.0
12,2579,コカ・コーラ　ボトラーズジャパンホールディングス,TSE Prime,TOPIX Mid400,食料品,食品,2579.T,C_breakout|E_can_slim,E_can_slim,34.0,"{'C_breakout': 24.29, 'E_can_slim': 34.0}",3882.0,79.4,2.7,1.7,11.2,7.43,22.51,33.4
13,3399,丸千代山岡家,TSE Standard,TSE Standard Top100,小売業,小売,3399.T,E_can_slim,E_can_slim,33.12,{'E_can_slim': 33.12},3255.0,69.8,3.15,1.43,1.65,-2.68,1.14,59.2
14,8283,ＰＡＬＴＡＣ,TSE Prime,TOPIX Mid400,卸売業,商社・卸売,8283.T,A_trend,A_trend,33.0,{'A_trend': 33.0},6634.0,75.0,0.04,0.4,19.69,27.5,34.96,27.4
15,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,TSE Prime,TOPIX Large70,保険業,金融（除く銀行）,8725.T,A_trend,A_trend,32.96,{'A_trend': 32.96},4597.0,65.6,2.39,0.93,9.88,11.15,21.39,6.6
16,9433,ＫＤＤＩ,TSE Prime,TOPIX Core30,情報・通信業,情報通信・サービスその他,9433.T,A_trend,A_trend,32.95,{'A_trend': 32.95},2752.0,53.3,2.4,0.86,3.7,3.44,5.56,5.7
17,8766,東京海上ホールディングス,TSE Prime,TOPIX Core30,保険業,金融（除く銀行）,8766.T,A_trend,A_trend,32.86,{'A_trend': 32.86},7406.0,39.4,2.45,0.86,2.15,10.62,16.62,3.4
18,8309,三井住友トラストグループ,TSE Prime,TOPIX Large70,銀行業,銀行,8309.T,A_trend,A_trend,32.7,{'A_trend': 32.7},5918.0,62.0,2.53,1.26,8.97,11.26,22.45,8.3
19,8306,三菱ＵＦＪフィナンシャル・グループ,TSE Prime,TOPIX Core30,銀行業,銀行,8306.T,A_trend,A_trend,32.65,{'A_trend': 32.65},3183.0,63.3,2.56,1.29,9.13,10.95,21.84,1.0
20,1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,TSE Prime,ETF,ETF・ETN,ETF・ETN,1321.T,A_trend,A_trend,32.62,{'A_trend': 32.62},67270.0,58.5,2.58,1.39,6.49,11.96,22.9,4.7
