code,name,ticker,market,size_category,sector_33,fy_end,announce_proxy_date,buyback_jpy,market_cap_at_announce,buyback_pct_mcap,price_at_announce,price_1y_later,price_1y_return_pct,pbr_pre,pbr_post,pbr_delta,roe_pre_pct,roe_post_pct,roe_delta_pct,equity_pre,equity_post,net_income_pre,net_income_post
4613,関西ペイント,4613.T,TSE Prime,TOPIX Mid400,化学,2025-03-31,2025-06-29,80008000000.0,340424908182.7119,23.502393061396766,1933.7236328125,,,1.260701546705741,1.5872444474305911,0.32654290072485015,14.218424637449845,,,269411000000.0,,38306000000.0,
4887,サワイグループホールディングス,4887.T,TSE Prime,TOPIX Mid400,医薬品,2025-03-31,2025-06-29,33320000000.0,208909310890.50537,15.94950452805038,1808.963623046875,,,1.1947257479960849,1.148613732109739,-0.04611201588634595,13.193829305049064,,,173854000000.0,,22938000000.0,
5019,出光興産,5019.T,TSE Prime,TOPIX Mid400,石油・石炭製品,2025-03-31,2025-06-29,165320000000.0,1042214229061.488,15.862381781994126,860.1204223632812,,,0.6097545369080023,0.9604765969760036,0.35072206006800133,6.048418738559854,,,1720367000000.0,,104055000000.0,
3382,セブン＆アイ・ホールディングス,3382.T,TSE Prime,TOPIX Core30,小売業,2026-02-28,2026-05-29,600004000000.0,4290594582976.0,13.984169056211112,1856.0,,,1.185068138378455,1.185068138378455,0.0,8.086292083189704,,,3620448000000.0,,292760000000.0,
5020,ＥＮＥＯＳホールディングス,5020.T,TSE Prime,TOPIX Large70,石油・石炭製品,2025-03-31,2025-06-29,232350000000.0,1889820197093.5613,12.294820446799195,702.5634155273438,,,0.6049092936084203,1.1158173600917018,0.5109080664832816,7.291060612901769,,,3100660000000.0,,226071000000.0,
4613,関西ペイント,4613.T,TSE Prime,TOPIX Mid400,化学,2024-03-31,2024-06-29,49027000000.0,431333528736.10913,11.366378158372854,2450.114013671875,1933.7236328125,-21.07617759736349,1.6696453950004888,1.260701546705741,-0.40894384829474784,21.651207433337095,14.218424637449845,-7.432782795887251,309955000000.0,269411000000.0,67109000000.0,38306000000.0
5214,日本電気硝子,5214.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,2024-12-31,2025-03-31,28105000000.0,248455907971.34326,11.31186625002357,3371.91943359375,5913.0,75.36006172300497,0.5711752569191797,0.9498839990637123,0.37870874214453265,2.49804243221857,6.014988727989114,3.516946295770544,484019000000.0,492370000000.0,12091000000.0,29616000000.0
2784,アルフレッサ　ホールディングス,2784.T,TSE Prime,TOPIX Mid400,卸売業,2024-03-31,2024-06-29,35740000000.0,382495722505.10986,9.343895342391061,2104.886474609375,1940.674072265625,-7.8014849886013256,0.8216305778730914,0.7313298110958293,-0.09030076677726206,6.16306539421475,5.684877342061948,-0.47818805215280236,479599000000.0,481787000000.0,29558000000.0,27389000000.0
3391,ツルハホールディングス,3391.T,TSE Prime,TOPIX Mid400,小売業,2026-02-28,2026-05-29,78408000000.0,894275221014.0,8.767770609935363,1974.0,,,1.0209626589672067,1.0209626589672067,0.0,4.872011226063833,,,875819000000.0,,42670000000.0,
1801,大成建設,1801.T,TSE Prime,TOPIX Mid400,建設業,2025-03-31,2025-06-29,114711000000.0,1352787208406.1562,8.479604130434648,8298.84375,,,1.6167361777638596,2.673759357527344,1.0570231797634846,14.295280008496999,,,866188000000.0,,123824000000.0,
