date,code,name,market,size_category,ticker,pick_type,latest_close,range_high,range_low,range_pct,position_pct,slope,touch_high,touch_low,atr,rsi,rsi_signal
2026-06-10,2511,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信,TSE Prime,ETF,2511.T,上タッチ（利確/ブレイク監視）,1190.5,1201.5,1169.4,2.71,65.7,3.1e-05,36,60,5.18,61.9,割高（様子見）
2026-06-10,6322,タクミナ,TSE Standard,TSE Standard Top400,6322.T,上タッチ（利確/ブレイク監視）,1573.0,1585.45,1541.27,2.83,71.8,6e-05,41,30,18.21,55.0,割高（様子見）
2026-06-10,1770,藤田エンジニアリング,TSE Standard,TSE Standard Top400,1770.T,上タッチ（利確/ブレイク監視）,1770.0,1825.57,1624.38,11.66,72.4,-0.00019,10,11,47.57,53.7,割高（様子見）
2026-06-09,1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,TSE Prime,ETF,1677.T,上タッチ（利確/ブレイク監視）,60430.0,60900.0,59171.21,2.88,72.8,0.000151,57,29,154.29,66.7,割高（様子見）
2026-06-10,3800,ユニリタ,TSE Standard,TSE Standard Top400,3800.T,上タッチ（利確/ブレイク監視）,1948.0,1955.1,1891.85,3.29,88.8,-2.4e-05,49,29,16.14,42.3,下落中（様子見）
2026-06-10,2226,湖池屋,TSE Standard,TSE Standard Top100,2226.T,上タッチ（利確/ブレイク監視）,4670.0,4675.25,4551.05,2.69,95.8,0.000226,63,34,15.0,50.0,下落中（様子見）
2026-06-10,2871,ニチレイ,TSE Prime,TOPIX Mid400,2871.T,上タッチ（利確/ブレイク監視）,2069.5,2079.1,1814.35,13.6,96.4,9e-06,12,13,57.0,73.2,割高（様子見）
2026-06-10,5918,瀧上工業,TSE Standard,TSE Standard Top400,5918.T,上タッチ（利確/ブレイク監視）,7270.0,7277.94,6969.55,4.33,97.4,-1e-06,26,17,60.71,58.2,割高（様子見）
2026-06-10,3048,ビックカメラ,TSE Prime,TOPIX Mid400,3048.T,上タッチ（利確/ブレイク監視）,1788.5,1791.15,1616.92,10.22,98.5,0.000217,20,12,41.61,60.6,割高（様子見）
2026-06-10,4998,フマキラー,TSE Standard,TSE Standard Top400,4998.T,上タッチ（利確/ブレイク監視）,1154.0,1154.49,1111.38,3.8,98.9,4.6e-05,39,31,16.21,60.8,割高（様子見）
2026-06-10,2924,イフジ産業,TSE Standard,TSE Standard Top400,2924.T,上タッチ（利確/ブレイク監視）,2117.0,2120.03,1850.5,13.58,98.9,-0.000126,17,17,27.21,58.7,割高（様子見）
2026-06-10,9433,ＫＤＤＩ,TSE Prime,TOPIX Core30,9433.T,上タッチ（利確/ブレイク監視）,2752.0,2750.57,2540.97,7.92,100.7,-0.000158,15,9,66.07,53.3,割高（様子見）
2026-06-10,4208,ＵＢＥ,TSE Prime,TOPIX Mid400,4208.T,上タッチ（利確/ブレイク監視）,3018.0,2970.28,2375.05,22.27,108.0,0.00016,10,15,78.21,47.6,下落中（様子見）
2026-06-10,4732,ユー・エス・エス,TSE Prime,TOPIX Mid400,4732.T,上タッチ（利確/ブレイク監視）,1914.0,1872.35,1675.33,11.11,121.1,7.1e-05,11,17,39.21,77.0,割高（様子見）
2026-06-10,2268,Ｂ－Ｒ　サーティワン　アイスクリーム,TSE Standard,TSE Standard Top100,2268.T,上タッチ（利確/ブレイク監視）,4135.0,4105.25,3990.0,2.85,125.8,0.000251,35,73,29.29,58.7,割高（様子見）
2026-06-10,2801,キッコーマン,TSE Prime,TOPIX Mid400,2801.T,上タッチ（利確/ブレイク監視）,1598.5,1536.0,1336.47,13.89,131.3,0.000121,11,8,50.43,75.3,割高（様子見）
2026-06-10,4347,ブロードメディア,TSE Standard,TSE Standard Top400,4347.T,下タッチ（買い候補）,1582.0,2362.1,1769.96,28.66,-31.7,0.000225,9,8,87.93,20.2,売られすぎ（反発期待）
2026-06-10,5885,ジーデップ・アドバンス,TSE Standard,TSE Standard Top400,5885.T,下タッチ（買い候補）,2517.0,3083.88,2641.51,15.45,-28.1,0.000217,8,11,167.15,34.8,下落中（様子見）
2026-06-10,5921,川岸工業,TSE Standard,TSE Standard Top400,5921.T,下タッチ（買い候補）,4010.0,4465.25,4109.5,8.3,-28.0,-0.000296,23,10,43.21,17.9,売られすぎ（反発期待）
2026-06-10,7912,大日本印刷,TSE Prime,TOPIX Mid400,7912.T,下タッチ（買い候補）,2543.5,3187.65,2677.38,17.4,-26.2,0.00018,12,13,92.11,34.8,下落中（様子見）
