code,name,ticker,sector_33,size_category,per,pbr,market_cap,wave_types,close,ma_short,ma_mid,ma_long,ma_tightness_pct,above_max_ma_pct,base_slope,base_range_pct,rsi_now,rsi_min_recent,golden_order,signal_strength
6322,タクミナ,6322.T,機械,TSE Standard Top400,8.81,0.95,10861027328.0,レンジ（波型）,1573.0,1566.95,1562.55,1549.65,1.11,0.39,7e-05,2.8,55.0,36.8,True,97.6
5918,瀧上工業,5918.T,金属製品,TSE Standard Top400,15.74,0.3,15003549696.0,レンジ（波型）,7270.0,7119.69,7146.79,7054.59,1.3,1.72,-0.00011,4.5,58.2,36.7,False,90.0
2511,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信,2511.T,ETF・ETN,ETF,,,,レンジ（波型）,1190.5,1182.36,1182.27,1139.55,3.67,0.69,-9e-05,3.4,61.9,25.6,True,89.4
2226,湖池屋,2226.T,食料品,TSE Standard Top100,19.19,2.34,49818521600.0,レンジ（波型）,4670.0,4651.93,4618.37,4651.48,0.72,0.39,0.00023,2.2,50.0,35.3,False,89.3
3454,ファーストブラザーズ,3454.T,不動産業,TSE Standard Top400,9.62,0.64,16829148160.0,レンジ（波型）,1200.0,1189.05,1194.11,1130.61,5.42,0.49,-0.0002,6.1,62.5,23.9,False,87.1
3075,銚子丸,3075.T,小売業,TSE Standard Top400,19.99,2.29,20108384256.0,レンジ（波型）,1606.0,1600.23,1593.97,1560.25,2.52,0.36,-0.0003,4.2,61.1,29.2,True,86.9
2904,一正蒲鉾,2904.T,食料品,TSE Standard Top400,35.28,0.93,14147063808.0,上昇トレンド|ブレイク気味,772.0,762.51,755.35,751.93,1.4,1.24,0.00036,2.7,61.5,40.0,True,83.0
7846,パイロットコーポレーション,7846.T,その他製品,TOPIX Mid400,15.39,1.25,171226218496.0,レンジ（波型）,4881.0,4773.57,4800.71,4579.06,4.7,1.67,-0.00033,9.8,48.2,25.4,False,82.1
9433,ＫＤＤＩ,9433.T,情報・通信業,TOPIX Core30,14.98,2.06,10477327351808.0,レンジ（波型）,2752.0,2657.71,2669.26,2565.63,3.94,3.1,-0.00042,8.2,53.3,25.7,False,81.7
4324,電通グループ,4324.T,サービス業,TOPIX Mid400,9.67,1.94,810688184320.0,下降トレンド,3123.0,2953.97,3060.38,3080.21,4.16,1.39,-0.00053,14.9,50.2,27.5,False,81.0
3772,ウェルス・マネジメント,3772.T,不動産業,TSE Standard Top400,8.11,1.15,20386768896.0,レンジ（波型）,1063.0,1061.78,1055.34,1044.62,1.63,0.11,0.00047,5.1,45.7,33.6,True,80.9
3435,サンコーテクノ,3435.T,金属製品,TSE Standard Top400,6.98,0.55,11032764416.0,未分類,1394.0,1345.01,1330.94,1272.11,5.54,3.64,-0.00021,8.1,60.4,36.7,True,80.8
3597,自重堂,3597.T,繊維製品,TSE Standard Top400,23.34,0.77,29337507840.0,上昇トレンド|ブレイク気味,10180.0,10064.92,9970.62,9759.29,3.08,1.14,0.00014,5.2,40.4,24.5,True,79.6
9048,名古屋鉄道,9048.T,陸運業,TOPIX Mid400,18.09,0.76,368724901888.0,上昇トレンド,1880.0,1787.76,1749.96,1709.71,4.46,5.16,0.0002,6.8,51.2,33.5,True,78.4
3159,丸善ＣＨＩホールディングス,3159.T,小売業,TSE Standard Top400,9.83,0.6,32760866816.0,未分類,354.0,348.09,342.49,334.86,3.87,1.7,0.00039,7.2,64.3,36.4,True,78.4
3800,ユニリタ,3800.T,情報・通信業,TSE Standard Top400,19.24,1.2,14824467456.0,レンジ（波型）|ブレイク気味,1948.0,1922.45,1925.73,1892.68,1.73,1.16,-0.00032,2.4,42.3,23.8,False,77.9
9007,小田急電鉄,9007.T,陸運業,TOPIX Mid400,15.97,1.18,596709146624.0,下降トレンド,1728.5,1651.58,1682.5,1665.51,1.86,2.73,-0.00079,11.4,54.4,19.1,False,76.4
4761,さくらケーシーエス,4761.T,情報・通信業,TSE Standard Top400,12.45,0.72,15230926848.0,上昇トレンド|ブレイク気味,1360.0,1320.04,1274.49,1296.67,3.51,3.03,0.00077,10.5,54.5,31.2,False,76.1
3048,ビックカメラ,3048.T,小売業,TOPIX Mid400,15.66,1.73,306285510656.0,レンジ（波型）,1788.5,1728.26,1713.0,1650.69,4.57,3.49,-0.0006,10.7,60.6,4.5,True,73.1
7292,村上開明堂,7292.T,輸送用機器,TSE Standard Top100,12.73,0.82,77388152832.0,レンジ（波型）,6680.0,6583.63,6555.66,6453.3,2.0,1.46,0.00044,8.8,40.7,29.7,True,72.9
2597,ユニカフェ,2597.T,食料品,TSE Standard Top400,21.46,2.02,14480425984.0,レンジ（波型）,1082.0,1073.97,1070.15,1011.52,5.94,0.75,0.00079,6.5,64.3,16.7,True,72.8
4665,ダスキン,4665.T,サービス業,TOPIX Mid400,21.87,1.27,201026207744.0,下降トレンド,4270.0,4133.75,4203.86,4021.62,4.42,1.57,-0.00115,10.9,56.1,17.9,False,71.8
3421,稲葉製作所,3421.T,金属製品,TSE Standard Top400,16.07,0.62,27261014016.0,上昇トレンド,1732.0,1700.46,1654.82,1677.72,2.72,1.85,0.00085,8.8,61.8,8.1,False,71.3
3053,ペッパーフードサービス,3053.T,小売業,TSE Standard Top400,,3.42,11670517760.0,上昇トレンド,190.0,183.14,180.78,188.05,3.95,1.03,0.00095,10.2,45.2,30.0,False,68.4
6730,アクセル,6730.T,電気機器,TSE Standard Top400,10.46,0.94,12794347520.0,下降トレンド|ブレイク気味|高ボラ（荒い）,1188.0,1121.52,1150.15,1105.58,3.96,3.29,-0.00088,11.0,60.9,18.9,False,67.7
2670,エービーシー・マート,2670.T,小売業,TOPIX Mid400,14.71,1.71,681688563712.0,上昇トレンド,2753.0,2653.32,2630.41,2746.19,4.33,0.25,0.00137,14.3,59.6,21.2,False,67.3
6845,アズビル,6845.T,電気機器,TOPIX Mid400,18.29,3.07,770109014016.0,上昇トレンド|ブレイク気味,1528.5,1475.6,1438.03,1414.17,4.26,3.58,0.00068,12.0,43.6,28.3,True,65.3
7752,リコー,7752.T,電気機器,TOPIX Mid400,14.94,0.72,827494170624.0,レンジ（波型）|ブレイク気味,1458.0,1387.1,1400.38,1365.38,2.53,4.11,-0.00113,12.1,53.0,35.7,False,64.4
6141,ＤＭＧ森精機,6141.T,機械,TOPIX Mid400,98.54,1.37,466336088064.0,上昇トレンド|高ボラ（荒い）,3305.0,2938.85,2857.31,2944.03,2.98,12.26,3e-05,28.4,52.6,30.3,False,64.3
5356,美濃窯業,5356.T,ガラス・土石製品,TSE Standard Top400,10.84,0.86,13566792704.0,上昇トレンド|ブレイク気味|高ボラ（荒い）,1322.0,1214.37,1205.73,1167.58,3.91,8.86,-0.00015,10.3,64.4,25.6,True,63.9
4912,ライオン,4912.T,化学,TOPIX Mid400,16.84,1.44,464523264000.0,下降トレンド,1679.0,1623.21,1655.71,1594.31,3.78,1.41,-0.00118,16.1,64.7,21.8,False,63.0
2924,イフジ産業,2924.T,食料品,TSE Standard Top400,8.61,1.37,17252749312.0,レンジ（波型）|ブレイク気味,2117.0,1967.06,1999.84,2057.07,4.48,2.91,-0.00139,12.3,58.7,33.7,False,60.8
4193,ファブリカホールディングス,4193.T,情報・通信業,TSE Standard Top400,17.96,3.3,11480029184.0,上昇トレンド|ブレイク気味,2233.0,2176.04,2091.91,2077.19,4.67,2.62,0.00126,11.0,62.1,38.2,True,60.8
7272,ヤマハ発動機,7272.T,輸送用機器,TOPIX Mid400,7.59,1.02,1183376080896.0,レンジ（波型）|ブレイク気味,1219.5,1170.07,1172.07,1127.55,3.85,4.05,-0.00094,14.8,42.5,22.0,False,57.8
7412,アトム,7412.T,小売業,TSE Standard Top100,,12.44,129208164352.0,上昇トレンド,669.0,650.32,613.47,623.1,5.86,2.87,0.00147,13.8,46.2,29.2,False,54.2
