code,name,size_category,sector_33,ticker,wave_types,range_high,range_low,range_pct,slope,touch_high,touch_low,touch_total,atr,bandwidth,breakout_days,per,pbr,market_cap
1332,ニッスイ,TOPIX Mid400,水産・農林業,1332.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,1428.67,1007.25,34.6,0.002644,7.0,9.0,16.0,48.64,0.3511,6.0,17.3,1.62,460216827904.0
1333,マルハニチロ,TOPIX Mid400,水産・農林業,1333.T,上昇トレンド|ブレイク気味,1435.95,1097.05,26.76,0.002488,10.0,10.0,20.0,35.96,0.1161,6.0,10.35,0.95,226841772032.0
1414,ショーボンドホールディングス,TOPIX Mid400,建設業,1414.T,上昇トレンド|ブレイク気味,1438.45,1189.0,18.99,0.001411,10.0,19.0,29.0,36.04,0.117,5.0,19.38,2.72,283714977792.0
1417,ミライト・ワン,TOPIX Mid400,建設業,1417.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,3858.05,2784.3,32.33,0.003323,10.0,10.0,20.0,120.36,0.1346,6.0,17.09,1.3,342140190720.0
1605,ＩＮＰＥＸ,TOPIX Mid400,鉱業,1605.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,3558.15,2474.75,35.92,0.003213,8.0,9.0,17.0,159.71,0.2622,6.0,10.79,0.88,4145485971456.0
1719,安藤・間,TOPIX Mid400,建設業,1719.T,上昇トレンド|ブレイク気味,2085.03,1658.57,22.78,0.00218,9.0,23.0,32.0,50.36,0.1189,6.0,12.36,1.74,327170195456.0
1721,コムシスホールディングス,TOPIX Mid400,建設業,1721.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,5128.8,3632.81,34.15,0.003413,7.0,17.0,24.0,139.43,0.1651,6.0,19.92,1.63,623103574016.0
1801,大成建設,TOPIX Mid400,建設業,1801.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,17325.0,9827.02,55.23,0.005733,8.0,17.0,25.0,726.79,0.284,5.0,21.19,3.28,2824154382336.0
1802,大林組,TOPIX Mid400,建設業,1802.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,3969.1,2356.52,50.99,0.00499,7.0,13.0,20.0,154.86,0.3093,6.0,16.72,2.3,2742814507008.0
1803,清水建設,TOPIX Mid400,建設業,1803.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,3222.55,1938.91,49.74,0.004525,7.0,8.0,15.0,149.21,0.3936,6.0,22.17,2.46,2213015715840.0
