code,name,ticker,market,size_category,sector_33,sector_17,market_cap
4716,日本オラクル,4716.T,TSE Standard,TSE Standard Top100,情報・通信業,情報通信・サービスその他,1135693529088.0
2702,日本マクドナルドホールディングス,2702.T,TSE Standard,TSE Standard Top100,小売業,小売,1026441412608.0
8572,アコム,8572.T,TSE Standard,TSE Standard Top100,その他金融業,金融（除く銀行）,739128442880.0
7564,ワークマン,7564.T,TSE Standard,TSE Standard Top100,小売業,小売,648008237056.0
4816,東映アニメーション,4816.T,TSE Standard,TSE Standard Top100,情報・通信業,情報通信・サービスその他,496480518144.0
6890,フェローテック,6890.T,TSE Standard,TSE Standard Top100,電気機器,電機・精密,404214710272.0
3350,メタプラネット,3350.T,TSE Standard,TSE Standard Top100,卸売業,商社・卸売,376278908928.0
4966,上村工業,4966.T,TSE Standard,TSE Standard Top100,化学,素材・化学,374214000640.0
9436,沖縄セルラー電話,9436.T,TSE Standard,TSE Standard Top100,情報・通信業,情報通信・サービスその他,333032783872.0
6960,フクダ電子,6960.T,TSE Standard,TSE Standard Top100,電気機器,電機・精密,313384239104.0
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,6777.T,TSE Standard,TSE Standard Top100,電気機器,電機・精密,289893351424.0
7716,ナカニシ,7716.T,TSE Standard,TSE Standard Top100,精密機器,電機・精密,260775067648.0
7014,名村造船所,7014.T,TSE Standard,TSE Standard Top100,輸送用機器,自動車・輸送機,255980355584.0
2782,セリア,2782.T,TSE Standard,TSE Standard Top100,小売業,小売,239718629376.0
6834,精工技研,6834.T,TSE Standard,TSE Standard Top100,電気機器,電機・精密,235371003904.0
4107,伊勢化学工業,4107.T,TSE Standard,TSE Standard Top100,化学,素材・化学,215806148608.0
7906,ヨネックス,7906.T,TSE Standard,TSE Standard Top100,その他製品,情報通信・サービスその他,208489136128.0
8066,三谷商事,8066.T,TSE Standard,TSE Standard Top100,卸売業,商社・卸売,207638822912.0
6670,ＭＣＪ,6670.T,TSE Standard,TSE Standard Top100,電気機器,電機・精密,205967114240.0
6736,サン電子,6736.T,TSE Standard,TSE Standard Top100,電気機器,電機・精密,199687421952.0
6366,千代田化工建設,6366.T,TSE Standard,TSE Standard Top100,建設業,建設・資材,192299089920.0
3222,ユナイテッド・スーパーマーケット・ホールディングス,3222.T,TSE Standard,TSE Standard Top100,小売業,小売,170651369472.0
6524,湖北工業,6524.T,TSE Standard,TSE Standard Top100,電気機器,電機・精密,157764501504.0
7287,日本精機,7287.T,TSE Standard,TSE Standard Top100,輸送用機器,自動車・輸送機,153231179776.0
7222,日産車体,7222.T,TSE Standard,TSE Standard Top100,輸送用機器,自動車・輸送機,147372507136.0
1723,日本電技,1723.T,TSE Standard,TSE Standard Top100,建設業,建設・資材,146776670208.0
2805,ヱスビー食品,2805.T,TSE Standard,TSE Standard Top100,食料品,食品,138285645824.0
7177,ＧＭＯフィナンシャルホールディングス,7177.T,TSE Standard,TSE Standard Top100,証券、商品先物取引業,金融（除く銀行）,136631615488.0
9708,帝国ホテル,9708.T,TSE Standard,TSE Standard Top100,サービス業,情報通信・サービスその他,133592276992.0
4628,エスケー化研,4628.T,TSE Standard,TSE Standard Top100,化学,素材・化学,132472840192.0
7412,アトム,7412.T,TSE Standard,TSE Standard Top100,小売業,小売,130753257472.0
4970,東洋合成工業,4970.T,TSE Standard,TSE Standard Top100,化学,素材・化学,130479972352.0
1965,テクノ菱和,1965.T,TSE Standard,TSE Standard Top100,建設業,建設・資材,128762167296.0
