code,name,ticker,sector_33,size_category,slope_past,slope_recent,signal_strength,rebound_pct,today_close,recent_low,per,pbr,wave_types,market_cap
8136,サンリオ,8136.T,卸売業,TOPIX Mid400,-0.03519,0.00175,36.93,5.8,887.4,839.0,21.73,7.81,下降トレンド,1075931709440.0
8341,七十七銀行,8341.T,銀行業,TOPIX Mid400,-0.01994,0.00124,21.17,11.7,3256.0,2915.0,13.44,1.05,下降トレンド,726407970816.0
4420,イーソル,4420.T,情報・通信業,TSE Standard Top400,-0.00122,0.01945,20.68,56.1,799.0,512.0,25.59,2.61,上昇トレンド|ブレイク気味|高ボラ（荒い）,15740565504.0
2393,日本ケアサプライ,2393.T,サービス業,TSE Standard Top100,-0.00206,0.01637,18.43,83.0,4065.0,2221.0,27.98,3.4,上昇トレンド|ブレイク気味|高ボラ（荒い）,63173038080.0
4320,ＣＥホールディングス,4320.T,情報・通信業,TSE Standard Top400,-0.00271,0.01411,16.82,43.8,1652.0,1149.0,17.4,3.37,上昇トレンド|ブレイク気味,27547987968.0
5393,ニチアス,5393.T,ガラス・土石製品,TOPIX Mid400,-0.01376,0.002,15.76,14.9,3560.0,3097.0,21.52,2.82,下降トレンド,673156497408.0
4631,ＤＩＣ,4631.T,化学,TOPIX Mid400,-0.00126,0.01249,13.75,29.9,4650.0,3580.0,13.6,0.91,上昇トレンド|ブレイク気味|高ボラ（荒い）,440293752832.0
4208,ＵＢＥ,4208.T,化学,TOPIX Mid400,-0.00215,0.01156,13.71,30.0,3018.0,2321.5,12.28,0.67,レンジ（波型）|ブレイク気味,293184176128.0
4439,東名,4439.T,情報・通信業,TSE Standard Top400,-0.01007,0.00312,13.19,7.5,741.0,689.0,9.63,2.09,下降トレンド|高ボラ（荒い）,22042800128.0
2413,エムスリー,2413.T,サービス業,TOPIX Mid400,-0.00421,0.0083,12.51,25.7,1651.0,1313.5,22.79,2.7,下降トレンド|高ボラ（荒い）,1101925580800.0
8283,ＰＡＬＴＡＣ,8283.T,卸売業,TOPIX Mid400,-0.00289,0.00957,12.46,43.8,6634.0,4612.0,18.49,1.34,上昇トレンド|ブレイク気味,402225561600.0
4100,戸田工業,4100.T,化学,TSE Standard Top400,-0.00135,0.01084,12.19,25.2,1655.0,1322.0,3.07,1.05,上昇トレンド|ブレイク気味|高ボラ（荒い）,9578114048.0
9843,ニトリホールディングス,9843.T,小売業,TOPIX Mid400,-0.0041,0.00762,11.71,22.2,2707.5,2216.5,17.13,1.55,下降トレンド|高ボラ（荒い）,1529892438016.0
4536,参天製薬,4536.T,医薬品,TOPIX Mid400,-0.00523,0.00608,11.31,24.4,1942.0,1561.5,17.06,2.1,上昇トレンド|ブレイク気味|高ボラ（荒い）,624702783488.0
3399,丸千代山岡家,3399.T,小売業,TSE Standard Top100,-0.00819,0.0027,10.9,11.3,3255.0,2925.0,17.34,42.52,レンジ（波型）|高ボラ（荒い）,64122511360.0
4543,テルモ,4543.T,精密機器,TOPIX Large70,-0.00258,0.00769,10.27,20.1,2308.5,1921.5,25.08,2.15,レンジ（波型）|ブレイク気味|高ボラ（荒い）,3405229064192.0
